6,Pintura acrílica,Recubrimiento decorativo,"Pigmento TiO2, Resina acrílica, Agua, Dispersante","Alta cobertura, secado rápido, acabado mate","VOC < 50 g/L","Usar 25% Resina acrílica, 20% Pigmento TiO2, 1% Dispersante, resto Agua","No usar solventes orgánicos volátiles (tolueno, xileno)"
7,Fertilizante líquido,Agroquímico,"Nitrato de amonio, Fosfato monoamónico, Agua","Alta solubilidad, liberación rápida","Cumplir límites de nitrógeno","Usar 10% Nitrato de amonio, 5% Fosfato, resto Agua","No mezclar con cloruro de calcio (precipitación peligrosa)"
8,Crema solar,Protección UV,"Óxido de zinc, Dióxido de titanio, Emulsionante, Agua","Protección UVA/UVB, textura ligera","Sin nanopartículas, hipoalergénico","Usar 5% Óxido de zinc, 3% Dióxido de titanio, 2% Emulsionante, resto Agua","No usar nanopartículas menores a 100 nm"
9,Limpiador industrial,Limpieza pesada,"Ácido cítrico, Tensioactivo aniónico, Agua","Desincrustante, biodegradable","pH entre 2 y 3","Usar 10% Ácido cítrico, 5% Tensioactivo, resto Agua","No usar ácido fluorhídrico ni mezclas con cloro"
10,Perfume,Cuidado personal,"Alcohol etílico, Aceite esencial, Agua destilada","Aroma duradero, evaporación controlada","Alcohol entre 70-80%","Usar 75% Alcohol, 2% Aceite esencial, resto Agua","No usar ftalatos ni almizcles sintéticos prohibidos"
11,Adhesivo escolar,Material de oficina,"Acetato de polivinilo, Agua, Conservante","Pegado rápido, no tóxico","Seguro para niños","Usar 20% Acetato de polivinilo, 0.2% Conservante, resto Agua","No usar solventes orgánicos ni formaldehído"
12,Desengrasante automotriz,Limpieza mecánica,"Carbonato de sodio, Tensioactivo no iónico, Agua","Alta capacidad de emulsión, biodegradable","Sin solventes clorados","Usar 15% Carbonato de sodio, 3% Tensioactivo, resto Agua","No usar tricloroetileno ni percloroetileno"
13,Masilla para madera,Reparación de superficies,"Polímero acrílico, Carga de madera, Agua","Fácil lijado, buena adherencia","Libre de solventes tóxicos","Usar 30% Carga de madera, 15% Polímero acrílico, resto Agua","No usar disolventes orgánicos ni metales pesados"
14,Insecticida doméstico,Control de plagas,"Piretrina, Solvente, Agua","Eficacia rápida, baja toxicidad","Seguro para uso en interiores","Usar 0.5% Piretrina, 10% Solvente, resto Agua","No usar organofosforados ni carbamatos"
15,Limpiador de vidrios,Limpieza de superficies,"Alcohol isopropílico, Amoníaco, Agua","Brillo sin manchas, secado rápido","Sin fragancias fuertes","Usar 10% Alcohol isopropílico, 2% Amoníaco, resto Agua","No usar ácidos fuertes ni abrasivos"
16,Limpiador de Pisos Aromático,Limpieza de superficies,"Vinagre Blanco, Agua, Esencia de Lavanda","Aroma fresco, limpieza efectiva, biodegradable","No usar en pisos de madera sin sellar","Usar 1 parte Vinagre Blanco, 2 partes Agua, 10 gotas Esencia de Lavanda"
17,Crema Hidratante para Manos,Cuidado de piel,"Aceite de Almendras, Glicerina, Agua de Rosas","Hidratación profunda, textura ligera","Sin parabenos, no comedogénico","Usar 2 cucharadas Aceite de Almendras, 1 cucharada Glicerina, 1/4 taza Agua de Rosas"
18,Desinfectante Natural de Superficies,Limpieza de superficies,"Vinagre Blanco, Agua Oxigenada, Aceite Esencial de Árbol de Té","Desinfección efectiva, biodegradable","No mezclar en el mismo recipiente","Usar 1 parte Vinagre Blanco, 1 parte Agua Oxigenada, 5 gotas Aceite Esencial de Árbol de Té"
19,Exfoliante Corporal de Café,Cuidado de piel,"Café Molido, Aceite de Coco, Azúcar Morena","Exfoliación suave, hidratación","No usar en piel irritada o con heridas abiertas","Usar 1/2 taza Café Molido, 1/4 taza Aceite de Coco, 1/4 taza Azúcar Morena"
20,Limpiador de Alfombras Casero,Limpieza de superficies,"Bicarbonato de Sodio, Vinagre Blanco, Esencia de Lavanda","Eliminación de manchas, aroma fresco","Probar en una pequeña área antes de usar en toda la alfombra","Espolvorear Bicarbonato de Sodio sobre la alfombra, rociar con una mezcla de 1 parte Vinagre Blanco y 1 parte Agua, añadir unas gotas de Esencia de Lavanda"
21,Mascarilla Capilar Reparadora,Cuidado capilar,"Aceite de Coco, Miel, Aloe Vera","Hidratación profunda, reparación del cabello","No usar si tienes alergia a alguno de los ingredientes","Usar 2 cucharadas Aceite de Coco, 1 cucharada Miel, 2 cucharadas Gel de Aloe Vera"
22,Limpiador de Juguetes Infantiles,Limpieza de superficies,"Vinagre Blanco, Agua, Jabón Neutro","Limpieza segura, biodegradable","Enjuagar bien después de limpiar para evitar residuos","Usar 1 parte Vinagre Blanco, 1 parte Agua, 1 cucharadita Jabón Neutro"
23,Desodorante Natural en Barra,Cuidado personal,"Bicarbonato de Sodio, Fécula de Maíz, Aceite de Coco, Esencia de Lavanda","Control de olores, hidratación","No aplicar sobre piel irritada o recién afeitada","Usar 2 cucharadas Bicarbonato de Sodio, 2 cucharadas Fécula de Maíz, 2 cucharadas Aceite de Coco, 5 gotas Esencia de Lavanda"
24,Limpiador de Metales,Limpieza de superficies,"Bicarbonato de Sodio, Jugo de Limón, Sal Marina","Eliminación de manchas, brillo","No usar en metales sensibles al ácido como el aluminio","Usar 1 cucharada Bicarbonato de Sodio, 1 cucharada Jugo de Limón, 1 cucharadita Sal Marina"
25,Repelente Natural de Insectos,Cuidado personal,"Aceite Esencial de Árbol de Té, Esencia de Lavanda, Agua","Repelente efectivo, aroma agradable","No aplicar directamente sobre la piel sin diluir","Usar 10 gotas Aceite Esencial de Árbol de Té, 10 gotas Esencia de Lavanda, 1 taza Agua"
26,Limpiador de Vidrios Antivaho,Limpieza de superficies,"Alcohol Isopropílico, Agua, Glicerina","Limpieza sin marcas, efecto antivaho","No usar en pantallas electrónicas directamente","Usar 1 parte Alcohol Isopropílico, 1 parte Agua, 1/2 cucharadita Glicerina"
27,Crema Facial Hidratante,Cuidado de piel,"Aceite de Almendras, Aloe Vera, Esencia de Lavanda","Hidratación profunda, textura ligera","No usar si tienes alergia a alguno de los ingredientes","Usar 1 cucharada Aceite de Almendras, 2 cucharadas Gel de Aloe Vera, 3 gotas Esencia de Lavanda"
28,Limpiador de Baño Antical,Limpieza de superficies,"Ácido Cítrico, Agua, Jabón Neutro","Eliminación de sarro, limpieza profunda","No usar en superficies metálicas sensibles al ácido","Usar 1 cucharada Ácido Cítrico, 1 taza Agua, 1 cucharadita Jabón Neutro"
29,Mascarilla Facial de Miel,Cuidado de piel,"Miel, Avena Molida, Agua","Hidratación y exfoliación suave","No usar si tienes alergia a la miel","Usar 1 cucharada Miel, 1 cucharada Avena Molida, 1 cucharadita Agua"
30,Limpiador de Superficies Multiusos,Limpieza de superficies,"Bicarbonato de Sodio, Vinagre Blanco, Jabón Neutro","Limpieza efectiva, biodegradable","No usar en superficies de madera sin sellar","Usar 1 cucharada Bicarbonato de Sodio, 1 taza Vinagre Blanco, 1 cucharadita Jabón Neutro"
31,Crema para Pies Secos,Cuidado de piel,"Aceite de Coco, Miel, Aceite Esencial de Árbol de Té","Hidratación profunda, reparación de grietas","No usar si tienes alergia a alguno de los ingredientes","Usar 2 cucharadas Aceite de Coco, 1 cucharada Miel, 5 gotas Aceite Esencial de Árbol de Té"
32,Limpiador de Pisos de Madera,Limpieza de superficies,"Vinagre Blanco, Aceite de Oliva, Agua","Limpieza segura, brillo natural","No usar en pisos sin sellar","Usar 1 parte Vinagre Blanco, 1 parte Aceite de Oliva, 2 partes Agua"
33,Desodorante Natural en Polvo,Cuidado personal,"Bicarbonato de Sodio, Fécula de Maíz, Esencia de Lavanda","Control de olores, textura ligera","No aplicar sobre piel irritada o recién afeitada","Usar 2 cucharadas Bicarbonato de Sodio, 2 cucharadas Fécula de Maíz, 5 gotas Esencia de Lavanda"
34,Limpiador de Metales Casero,Limpieza de superficies,"Bicarbonato de Sodio, Jugo de Limón, Sal Marina","Eliminación de manchas, brillo","No usar en metales sensibles al ácido como el aluminio","Usar 1 cucharada Bicarbonato de Sodio, 1 cucharada Jugo de Limón, 1 cucharadita Sal Marina"
35,Repelente Natural de Mosquitos,Cuidado personal,"Aceite Esencial de Árbol de Té, Esencia de Lavanda, Agua","Repelente efectivo, aroma agradable","No aplicar directamente sobre la piel sin diluir","Usar 10 gotas Aceite Esencial de Árbol de Té, 10 gotas Esencia de Lavanda, 1 taza Agua"
36,Limpiador de Vidrios Natural,Limpieza de superficies,"Vinagre Blanco, Alcohol Isopropílico, Agua","Limpieza sin marcas, secado rápido","No usar en pantallas electrónicas directamente","Usar 1 parte Vinagre Blanco, 1 parte Alcohol Isopropílico, 2 partes Agua"
37,Crema Corporal de Avena,Cuidado de piel,"Avena Molida, Aceite de Almendras, Agua","Hidratación profunda, textura ligera","No usar si tienes alergia a la avena o almendras","Usar 2 cucharadas Avena Molida, 1 cucharada Aceite de Almendras, 1/4 taza Agua"
38,Limpiador de Baño Antical,Limpieza de superficies,"Ácido Cítrico, Agua, Jabón Neutro","Eliminación de sarro, limpieza profunda","No usar en superficies metálicas sensibles al ácido","Usar 1 cucharada Ácido Cítrico, 1 taza Agua, 1 cucharadita Jabón Neutro"
39,Mascarilla Facial de Miel,Cuidado de piel,"Miel, Avena Molida, Agua","Hidratación y exfoliación suave","No usar si tienes alergia a la miel","Usar 1 cucharada Miel, 1 cucharada Avena Molida, 1 cucharadita Agua"
40,Limpiador de Superficies Multiusos,Limpieza de superficies,"Bicarbonato de Sodio, Vinagre Blanco, Jabón Neutro","Limpieza efectiva, biodegradable","No usar en superficies de madera sin sellar","Usar 1 cucharada Bicarbonato de Sodio, 1 taza Vinagre Blanco, 1 cucharadita Jabón Neutro"
41,Solución Buffer de Fosfato,Laboratorio,"Fosfato Monosódico, Fosfato Disódico, Agua","Estabilización de pH, solución tampón","No ingerir. Usar guantes al manipular.","Usar 0.2 M Fosfato Monosódico, 0.2 M Fosfato Disódico, ajustar pH con ácido o base según necesidad."
42,Solución de Ácido Clorhídrico 0.1M,Laboratorio,"Ácido Clorhídrico, Agua","Efectividad en titulación, limpieza de óxido","Corrosivo. Usar protección ocular y guantes.","Diluir 8.3 mL de Ácido Clorhídrico concentrado en 1 L de Agua destilada."
43,Solución de Hidróxido de Sodio 0.1M,Laboratorio,"Hidróxido de Sodio, Agua","Efectividad en titulación, ajuste de pH","Corrosivo. Usar guantes y protección ocular.","Disolver 4 g de Hidróxido de Sodio en 1 L de Agua destilada."
44,Solución de Sulfato de Cobre,Laboratorio,"Sulfato de Cobre, Agua","Pruebas de reacción, solución estándar","Tóxico. Evitar contacto con piel y ojos.","Disolver 25 g de Sulfato de Cobre en 1 L de Agua destilada."
45,Solución de Permanganato de Potasio,Laboratorio,"Permanganato de Potasio, Agua","Oxidación, solución estándar","Tóxico y oxidante. Usar guantes y protección ocular.","Disolver 3.16 g de Permanganato de Potasio en 1 L de Agua destilada."
46,Solución de Nitrato de Plata,Laboratorio,"Nitrato de Plata, Agua","Precipitación, análisis químico","Tóxico. Mancha la piel. Usar guantes.","Disolver 1.7 g de Nitrato de Plata en 1 L de Agua destilada."
47,Solución de Ácido Acético 1M,Laboratorio,"Ácido Acético, Agua","Ajuste de pH, solución estándar","Corrosivo. Usar guantes y protección ocular.","Diluir 57.5 mL de Ácido Acético glacial en 1 L de Agua destilada."
48,Solución de Cloruro de Sodio 0.9%,Laboratorio,"Cloruro de Sodio, Agua","Preparación de soluciones, isotónica","No ingerir. Usar guantes al manipular.","Disolver 9 g de Cloruro de Sodio en 1 L de Agua destilada."
49,Solución de Ácido Nítrico 0.1M,Laboratorio,"Ácido Nítrico, Agua","Análisis químico, limpieza de metales","Corrosivo. Usar guantes y protección ocular.","Diluir 6.3 mL de Ácido Nítrico concentrado en 1 L de Agua destilada."
50,Solución de Tiosulfato de Sodio,Laboratorio,"Tiosulfato de Sodio, Agua","Valoración, neutralización de cloro","Tóxico. Usar guantes y protección ocular.","Disolver 24.8 g de Tiosulfato de Sodio en 1 L de Agua destilada."
51,Solución de Carbonato de Sodio,Laboratorio,"Carbonato de Sodio, Agua","Neutralización, limpieza de ácidos","Irritante. Usar guantes y protección ocular.","Disolver 10.6 g de Carbonato de Sodio en 1 L de Agua destilada."
52,Solución de Dicromato de Potasio,Laboratorio,"Dicromato de Potasio, Agua","Oxidación, análisis volumétrico","Tóxico y carcinógeno. Usar guantes y protección ocular.","Disolver 2.94 g de Dicromato de Potasio en 1 L de Agua destilada."
53,Solución de Cloruro de Calcio,Laboratorio,"Cloruro de Calcio, Agua","Precipitación, análisis químico","Irritante. Usar guantes y protección ocular.","Disolver 11.1 g de Cloruro de Calcio en 1 L de Agua destilada."
54,Solución de Sulfato de Magnesio,Laboratorio,"Sulfato de Magnesio, Agua","Preparación de soluciones, análisis químico","No ingerir. Usar guantes al manipular.","Disolver 12.3 g de Sulfato de Magnesio en 1 L de Agua destilada."
55,Solución de Ácido Fosfórico 1M,Laboratorio,"Ácido Fosfórico, Agua","Ajuste de pH, limpieza de metales","Corrosivo. Usar guantes y protección ocular.","Diluir 68 mL de Ácido Fosfórico concentrado en 1 L de Agua destilada."
56,Solución de Bromuro de Potasio,Laboratorio,"Bromuro de Potasio, Agua","Análisis químico, solución estándar","Tóxico. Usar guantes y protección ocular.","Disolver 11.9 g de Bromuro de Potasio en 1 L de Agua destilada."
57,Solución de Yoduro de Potasio,Laboratorio,"Yoduro de Potasio, Agua","Reacciones redox, análisis químico","Tóxico. Usar guantes y protección ocular.","Disolver 16.6 g de Yoduro de Potasio en 1 L de Agua destilada."
58,Solución de Sulfato de Zinc,Laboratorio,"Sulfato de Zinc, Agua","Precipitación, análisis químico","Tóxico. Usar guantes y protección ocular.","Disolver 28.7 g de Sulfato de Zinc en 1 L de Agua destilada."
59,Solución de Cloruro de Amonio,Laboratorio,"Cloruro de Amonio, Agua","Preparación de soluciones, análisis químico","Irritante. Usar guantes y protección ocular.","Disolver 5.35 g de Cloruro de Amonio en 1 L de Agua destilada."
60,Solución de Ácido Perclórico,Laboratorio,"Ácido Perclórico, Agua","Análisis químico, limpieza de metales","Extremadamente corrosivo. Usar guantes, protección ocular y trabajar bajo campana.","Diluir 8.5 mL de Ácido Perclórico concentrado en 1 L de Agua destilada."
