ID_Receta,Nombre,Categoria,Ingredientes,Instrucciones,Advertencias
rec_017,Limpiador de Metales,Limpieza,"ing_002: 1 cucharada | jugo_limon: 1 cucharada | sal_marina: 1 cucharadita","Mezclar bicarbonato, jugo de limón y sal marina. Aplicar con un paño suave.","No usar en metales sensibles al ácido como el aluminio." 
rec_018,Repelente Natural de Insectos,Cuidado Personal,"ing_010: 10 gotas | ing_017: 10 gotas | agua: 1 taza","Mezclar aceite esencial de árbol de té, esencia de lavanda y agua. Rociar en áreas expuestas.","No aplicar directamente sobre la piel sin diluir." 
rec_019,Limpiador de Vidrios Antivaho,Limpieza,"ing_006: 1 parte | agua: 1 parte | ing_012: 1/2 cucharadita","Mezclar alcohol, agua y glicerina. Aplicar con un paño suave.","No usar en pantallas electrónicas directamente." 
rec_020,Crema Facial Hidratante,Cuidado Personal,"ing_021: 1 cucharada | ing_019: 2 cucharadas | ing_017: 3 gotas","Mezclar aceite de almendras, sábila y esencia de lavanda. Aplicar en el rostro.","No usar si tienes alergia a alguno de los ingredientes." 
rec_021,Limpiador de Baño Antical,Limpieza,"ing_014: 1 cucharada | agua: 1 taza | ing_009: 1 cucharadita","Mezclar ácido cítrico, agua y jabón neutro. Aplicar con una esponja.","No usar en superficies metálicas sensibles al ácido." 
rec_022,mascarilla Facial de Miel,Cuidado Personal,"miel: 1 cucharada | ing_020: 1 cucharada | agua: 1 cucharadita","Mezclar miel, avena molida y agua. Aplicar en el rostro durante 15 minutos.","No usar si tienes alergia a la miel." 
rec_023,Limpiador de Superficies Multiusos,Limpieza,"ing_002: 1 cucharada | ing_001: 1 taza | ing_009: 1 cucharadita","Mezclar bicarbonato, vinagre y jabón neutro. Aplicar con un paño.","No usar en superficies de madera sin sellar." 
rec_024,Crema para Pies Secos,Cuidado Personal,"ing_008: 2 cucharadas | miel: 1 cucharada | ing_010: 5 gotas","Mezclar aceite de coco, miel y aceite esencial de árbol de té. Aplicar en los pies.","No usar si tienes alergia a alguno de los ingredientes." 
rec_025,Limpiador de Pisos de Madera,Limpieza,"ing_001: 1 parte | ing_013: 1 parte | agua: 2 partes","Mezclar vinagre, aceite de oliva y agua. Limpiar con un trapeador.","No usar en pisos sin sellar." 
rec_026,Desodorante Natural en Polvo,Cuidado Personal,"ing_002: 2 cucharadas | ing_011: 2 cucharadas | ing_017: 5 gotas","Mezclar bicarbonato, fécula de maíz y esencia de lavanda. Aplicar en las axilas.","No aplicar sobre piel irritada o recién afeitada." 
rec_027,Limpiador de Metales Casero,Limpieza,"ing_002: 1 cucharada | jugo_limon: 1 cucharada | sal_marina: 1 cucharadita","Mezclar bicarbonato, jugo de limón y sal marina. Aplicar con un paño suave.","No usar en metales sensibles al ácido como el aluminio." 
rec_028,Repelente Natural de Mosquitos,Cuidado Personal,"ing_010: 10 gotas | ing_017: 10 gotas | agua: 1 taza","Mezclar aceite esencial de árbol de té, esencia de lavanda y agua. Rociar en áreas expuestas.","No aplicar directamente sobre la piel sin diluir." 
rec_029,Limpiador de Vidrios Natural,Limpieza,"ing_001: 1 parte | ing_006: 1 parte | agua: 2 partes","Mezclar vinagre, alcohol y agua. Aplicar con un paño suave.","No usar en pantallas electrónicas directamente." 
rec_030,Crema Corporal de Avena,Cuidado Personal,"ing_020: 2 cucharadas | ing_021: 1 cucharada | agua: 1/4 taza","Mezclar avena molida, aceite de almendras y agua. Aplicar en la piel.","No usar si tienes alergia a la avena o almendras." 
rec_031,Limpiador de Baño Antical,Limpieza,"ing_014: 1 cucharada | agua: 1 taza | ing_009: 1 cucharadita","Mezclar ácido cítrico, agua y jabón neutro. Aplicar con una esponja.","No usar en superficies metálicas sensibles al ácido." 
rec_032,Mascarilla Facial de Miel,Cuidado Personal,"miel: 1 cucharada | ing_020: 1 cucharada | agua: 1 cucharadita","Mezclar miel, avena molida y agua. Aplicar en el rostro durante 15 minutos.","No usar si tienes alergia a la miel." 
rec_033,Limpiador de Superficies Multiusos,Limpieza,"ing_002: 1 cucharada | ing_001: 1 taza | ing_009: 1 cucharadita","Mezclar bicarbonato, vinagre y jabón neutro. Aplicar con un paño.","No usar en superficies de madera sin sellar." 
rec_034,Crema para Pies Secos,Cuidado Personal,"ing_008: 2 cucharadas | miel: 1 cucharada | ing_010: 5 gotas","Mezclar aceite de coco, miel y aceite esencial de árbol de té. Aplicar en los pies.","No usar si tienes alergia a alguno de los ingredientes." 
rec_035,Limpiador de Pisos de Madera,Limpieza,"ing_001: 1 parte | ing_013: 1 parte | agua: 2 partes","Mezclar vinagre, aceite de oliva y agua. Limpiar con un trapeador.","No usar en pisos sin sellar." 
rec_036,Desodorante Natural en Polvo,Cuidado Personal,"ing_002: 2 cucharadas | ing_011: 2 cucharadas | ing_017: 5 gotas","Mezclar bicarbonato, fécula de maíz y esencia de lavanda. Aplicar en las axilas.","No aplicar sobre piel irritada o recién afeitada." 
rec_037,Limpiador de Metales Casero,Limpieza,"ing_002: 1 cucharada | jugo_limon: 1 cucharada | sal_marina: 1 cucharadita","Mezclar bicarbonato, jugo de limón y sal marina. Aplicar con un paño suave.","No usar en metales sensibles al ácido como el aluminio." 
rec_038,Repelente Natural de Mosquitos,Cuidado Personal,"ing_010: 10 gotas | ing_017: 10 gotas | agua: 1 taza","Mezclar aceite esencial de árbol de té, esencia de lavanda y agua. Rociar en áreas expuestas.","No aplicar directamente sobre la piel sin diluir." 
rec_039,Limpiador de Vidrios Natural,Limpieza,"ing_001: 1 parte | ing_006: 1 parte | agua: 2 partes","Mezclar vinagre, alcohol y agua. Aplicar con un paño suave.","No usar en pantallas electrónicas directamente." 
rec_040,Crema Corporal de Avena,Cuidado Personal,"ing_020: 2 cucharadas | ing_021: 1 cucharada | agua: 1/4 taza","Mezclar avena molida, aceite de almendras y agua. Aplicar en la piel.","No usar si tienes alergia a la avena o almendras."
rec_041,Solución Buffer de Fosfato,Laboratorio,"ing_001: 0.2 M | ing_002: 0.2 M | agua: suficiente para 1 L","Mezclar fosfato monosódico y disódico en agua destilada. Ajustar el pH según necesidad.","No ingerir. Usar guantes al manipular." 
rec_042,Solución de Ácido Clorhídrico 0.1M,Laboratorio,"ing_029: 8.3 mL | agua: suficiente para 1 L","Diluir ácido clorhídrico concentrado en agua destilada. Usar guantes y protección ocular.","Corrosivo. Usar en campana extractora." 
rec_043,Solución de Hidróxido de Sodio 0.1M,Laboratorio,"ing_037: 4 g | agua: suficiente para 1 L","Disolver hidróxido de sodio en agua destilada. Agitar hasta disolver completamente.","Corrosivo. Usar guantes y protección ocular." 
rec_044,Solución de Sulfato de Cobre,Laboratorio,"ing_018: 25 g | agua: suficiente para 1 L","Disolver sulfato de cobre en agua destilada. Almacenar en un recipiente oscuro.","Tóxico. Evitar contacto con piel y ojos." 
rec_045,Solución de Permanganato de Potasio,Laboratorio,"ing_032: 3.16 g | agua: suficiente para 1 L","Disolver permanganato de potasio en agua destilada. Usar guantes al manipular.","Tóxico y oxidante. Usar protección ocular." 
rec_046,Solución de Nitrato de Plata,Laboratorio,"ing_034: 1.7 g | agua: suficiente para 1 L","Disolver nitrato de plata en agua destilada. Almacenar en un lugar oscuro.","Tóxico. Mancha la piel. Usar guantes." 
rec_047,Solución de Ácido Acético 1M,Laboratorio,"ing_031: 57.5 mL | agua: suficiente para 1 L","Diluir ácido acético glacial en agua destilada. Agitar bien.","Corrosivo. Usar guantes y protección ocular." 
rec_048,Solución de Cloruro de Sodio 0.9%,Laboratorio,"ing_018: 9 g | agua: suficiente para 1 L","Disolver cloruro de sodio en agua destilada. Esterilizar antes de usar.","No ingerir. Usar guantes al manipular." 
rec_049,Solución de Ácido Nítrico 0.1M,Laboratorio,"ing_029: 6.3 mL | agua: suficiente para 1 L","Diluir ácido nítrico concentrado en agua destilada. Usar en campana extractora.","Corrosivo. Usar guantes y protección ocular." 
rec_050,Solución de Tiosulfato de Sodio,Laboratorio,"ing_038: 24.8 g | agua: suficiente para 1 L","Disolver tiosulfato de sodio en agua destilada. Almacenar en un lugar fresco.","Tóxico. Usar guantes y protección ocular." 
rec_051,Solución de Carbonato de Sodio,Laboratorio,"ing_016: 10.6 g | agua: suficiente para 1 L","Disolver carbonato de sodio en agua destilada. Agitar hasta disolver completamente.","Irritante. Usar guantes y protección ocular." 
rec_052,Solución de Dicromato de Potasio,Laboratorio,"ing_032: 2.94 g | agua: suficiente para 1 L","Disolver dicromato de potasio en agua destilada. Usar guantes al manipular.","Tóxico y carcinógeno. Usar protección ocular." 
rec_053,Solución de Cloruro de Calcio,Laboratorio,"ing_018: 11.1 g | agua: suficiente para 1 L","Disolver cloruro de calcio en agua destilada. Agitar hasta disolver completamente.","Irritante. Usar guantes y protección ocular." 
rec_054,Solución de Sulfato de Magnesio,Laboratorio,"ing_018: 12.3 g | agua: suficiente para 1 L","Disolver sulfato de magnesio en agua destilada. Almacenar en un lugar fresco.","No ingerir. Usar guantes al manipular." 
rec_055,Solución de Ácido Fosfórico 1M,Laboratorio,"ing_035: 68 mL | agua: suficiente para 1 L","Diluir ácido fosfórico concentrado en agua destilada. Agitar bien.","Corrosivo. Usar guantes y protección ocular." 
rec_056,Solución de Bromuro de Potasio,Laboratorio,"ing_018: 11.9 g | agua: suficiente para 1 L","Disolver bromuro de potasio en agua destilada. Almacenar en un lugar fresco.","Tóxico. Usar guantes y protección ocular." 
rec_057,Solución de Yoduro de Potasio,Laboratorio,"ing_018: 16.6 g | agua: suficiente para 1 L","Disolver yoduro de potasio en agua destilada. Agitar hasta disolver completamente.","Tóxico. Usar guantes y protección ocular." 
rec_058,Solución de Sulfato de Zinc,Laboratorio,"ing_018: 28.7 g | agua: suficiente para 1 L","Disolver sulfato de zinc en agua destilada. Almacenar en un lugar fresco.","Tóxico. Usar guantes y protección ocular." 
rec_059,Solución de Cloruro de Amonio,Laboratorio,"ing_018: 5.35 g | agua: suficiente para 1 L","Disolver cloruro de amonio en agua destilada. Agitar hasta disolver completamente.","Irritante. Usar guantes y protección ocular." 
rec_060,Solución de Ácido Perclórico,Laboratorio,"ing_029: 8.5 mL | agua: suficiente para 1 L","Diluir ácido perclórico concentrado en agua destilada. Usar en campana extractora.","Extremadamente corrosivo. Usar guantes, protección ocular y trabajar bajo campana."
