ID,Producto,Propósito,Ingredientes disponibles,Propiedades deseadas,Restricciones,Sugerencia de formulación
11,Desinfectante Natural de Superficies,Limpieza,"Vinagre Blanco, Agua Oxigenada, Aceite Esencial de Árbol de Té",Efectividad en Limpieza,"No mezclar en el mismo recipiente, aplicar por separado.","Usar 1 parte Vinagre Blanco, 1 parte Agua Oxigenada, 5 gotas Aceite Esencial de Árbol de Té. Aplicar primero el vinagre, luego el agua oxigenada, y finalmente el aceite esencial."
12,Exfoliante Corporal de Café,Cuidado Personal,"Café Molido, Aceite de Coco, Azúcar Morena",Efectividad en Cuidado Personal,"No usar en piel irritada o con heridas abiertas.","Usar 1/2 taza Café Molido, 1/4 taza Aceite de Coco, 1/4 taza Azúcar Morena. Mezclar y aplicar con movimientos circulares en la piel."
13,Limpiador de Alfombras Casero,Limpieza,"Bicarbonato de Sodio, Vinagre Blanco, Aceite Esencial de Lavanda",Efectividad en Limpieza,"Probar en una pequeña área antes de usar en toda la alfombra.","Espolvorear Bicarbonato de Sodio sobre la alfombra, rociar con una mezcla de 1 parte Vinagre Blanco y 1 parte Agua, añadir unas gotas de Aceite Esencial de Lavanda. Dejar actuar y aspirar."
14,Mascarilla Capilar Reparadora,Cuidado Personal,"Aceite de Coco, Miel, Aloe Vera",Efectividad en Cuidado Personal,"No usar si tienes alergia a alguno de los ingredientes.","Usar 2 cucharadas Aceite de Coco, 1 cucharada Miel, 2 cucharadas Gel de Aloe Vera. Mezclar y aplicar en el cabello, dejar actuar 30 minutos y enjuagar."
15,Limpiador de Juguetes Infantiles,Limpieza,"Vinagre Blanco, Agua, Jabón de Castilla",Efectividad en Limpieza,"Enjuagar bien después de limpiar para evitar residuos.","Usar 1 parte Vinagre Blanco, 1 parte Agua, 1 cucharadita Jabón de Castilla. Mezclar y limpiar los juguetes con un paño húmedo."
16,Desodorante Natural en Barra,Cuidado Personal,"Bicarbonato de Sodio, Fécula de Maíz, Aceite de Coco, Aceite Esencial de Lavanda",Efectividad en Cuidado Personal,"No aplicar sobre piel irritada o recién afeitada.","Usar 2 cucharadas Bicarbonato de Sodio, 2 cucharadas Fécula de Maíz, 2 cucharadas Aceite de Coco, 5 gotas Aceite Esencial de Lavanda. Mezclar y colocar en un molde para barras."
17,Limpiador de Metales,Limpieza,"Bicarbonato de Sodio, Jugo de Limón, Sal Marina",Efectividad en Limpieza,"No usar en metales sensibles al ácido como el aluminio.","Usar 1 cucharada Bicarbonato de Sodio, 1 cucharada Jugo de Limón, 1 cucharadita Sal Marina. Mezclar y aplicar con un paño suave."
18,Repelente Natural de Insectos,Cuidado Personal,"Aceite Esencial de Árbol de Té, Aceite Esencial de Lavanda, Agua",Efectividad en Cuidado Personal,"No aplicar directamente sobre la piel sin diluir.","Usar 10 gotas Aceite Esencial de Árbol de Té, 10 gotas Aceite Esencial de Lavanda, 1 taza Agua. Mezclar y rociar en áreas expuestas."
19,Limpiador de Pisos Aromático,Limpieza,"Vinagre Blanco, Agua, Aceite Esencial de Limón",Efectividad en Limpieza,"No usar en pisos de madera sin sellar.","Usar 1 parte Vinagre Blanco, 2 partes Agua, 10 gotas Aceite Esencial de Limón. Mezclar y limpiar con un trapeador."
20,Crema Facial Hidratante,Cuidado Personal,"Aceite de Almendras, Aloe Vera, Aceite Esencial de Lavanda",Efectividad en Cuidado Personal,"No usar si tienes alergia a alguno de los ingredientes.","Usar 1 cucharada Aceite de Almendras, 2 cucharadas Gel de Aloe Vera, 3 gotas Aceite Esencial de Lavanda. Mezclar y aplicar en el rostro."
21,Crema Corporal de Avena,Cuidado Personal,"Harina de Avena, Aceite de Almendras, Agua",Efectividad en Cuidado Personal,"No usar si tienes alergia a la avena o almendras.","Usar 2 cucharadas Harina de Avena, 1 cucharada Aceite de Almendras, 1/4 taza Agua. Mezclar bien y aplicar en la piel."
22,Limpiador de Baño Antical,Limpieza,"Ácido Cítrico en Polvo, Agua, Jabón de Castilla",Efectividad en Limpieza,"No usar en superficies metálicas sensibles al ácido.","Usar 1 cucharada Ácido Cítrico en Polvo, 1 taza Agua, 1 cucharadita Jabón de Castilla. Mezclar y aplicar con una esponja."
23,Mascarilla Facial de Miel,Cuidado Personal,"Miel, Harina de Avena, Agua",Efectividad en Cuidado Personal,"No usar si tienes alergia a la miel.","Usar 1 cucharada Miel, 1 cucharada Harina de Avena, 1 cucharadita Agua. Mezclar y aplicar en el rostro durante 15 minutos."
24,Limpiador de Juguetes Naturales,Limpieza,"Vinagre Blanco, Agua, Aceite Esencial de Árbol de Té",Efectividad en Limpieza,"Enjuagar bien después de limpiar para evitar residuos.","Usar 1 parte Vinagre Blanco, 1 parte Agua, 5 gotas Aceite Esencial de Árbol de Té. Mezclar y limpiar con un paño húmedo."
25,Exfoliante de Azúcar Morena,Cuidado Personal,"Azúcar Morena, Aceite de Coco, Aceite Esencial de Lavanda",Efectividad en Cuidado Personal,"No usar en piel irritada o con heridas abiertas.","Usar 1/2 taza Azúcar Morena, 1/4 taza Aceite de Coco, 5 gotas Aceite Esencial de Lavanda. Mezclar y aplicar con movimientos circulares."
26,Limpiador de Vidrios Natural,Limpieza,"Vinagre Blanco, Alcohol Isopropílico, Agua",Efectividad en Limpieza,"No usar en pantallas electrónicas directamente.","Usar 1 parte Vinagre Blanco, 1 parte Alcohol Isopropílico, 2 partes Agua. Mezclar y aplicar con un paño suave."
27,Crema para Pies Secos,Cuidado Personal,"Aceite de Coco, Miel, Aceite Esencial de Árbol de Té",Efectividad en Cuidado Personal,"No usar si tienes alergia a alguno de los ingredientes.","Usar 2 cucharadas Aceite de Coco, 1 cucharada Miel, 5 gotas Aceite Esencial de Árbol de Té. Mezclar y aplicar en los pies."
28,Limpiador de Superficies Multiusos,Limpieza,"Bicarbonato de Sodio, Vinagre Blanco, Jabón de Castilla",Efectividad en Limpieza,"No usar en superficies de madera sin sellar.","Usar 1 cucharada Bicarbonato de Sodio, 1 taza Vinagre Blanco, 1 cucharadita Jabón de Castilla. Mezclar y aplicar con un paño."
29,Mascarilla Capilar de Aloe Vera,Cuidado Personal,"Aloe Vera, Aceite de Almendras, Miel",Efectividad en Cuidado Personal,"No usar si tienes alergia a alguno de los ingredientes.","Usar 2 cucharadas Gel de Aloe Vera, 1 cucharada Aceite de Almendras, 1 cucharada Miel. Mezclar y aplicar en el cabello."
30,Limpiador de Pisos de Madera,Limpieza,"Vinagre Blanco, Aceite de Oliva, Agua",Efectividad en Limpieza,"No usar en pisos sin sellar.","Usar 1 parte Vinagre Blanco, 1 parte Aceite de Oliva, 2 partes Agua. Mezclar y limpiar con un trapeador."
31,Desodorante Natural en Polvo,Cuidado Personal,"Bicarbonato de Sodio, Fécula de Maíz, Aceite Esencial de Lavanda",Efectividad en Cuidado Personal,"No aplicar sobre piel irritada o recién afeitada.","Usar 2 cucharadas Bicarbonato de Sodio, 2 cucharadas Fécula de Maíz, 5 gotas Aceite Esencial de Lavanda. Mezclar y aplicar en las axilas."
32,Limpiador de Metales Casero,Limpieza,"Bicarbonato de Sodio, Jugo de Limón, Sal Marina",Efectividad en Limpieza,"No usar en metales sensibles al ácido como el aluminio.","Usar 1 cucharada Bicarbonato de Sodio, 1 cucharada Jugo de Limón, 1 cucharadita Sal Marina. Mezclar y aplicar con un paño suave."
33,Repelente Natural de Mosquitos,Cuidado Personal,"Aceite Esencial de Árbol de Té, Aceite Esencial de Lavanda, Agua",Efectividad en Cuidado Personal,"No aplicar directamente sobre la piel sin diluir.","Usar 10 gotas Aceite Esencial de Árbol de Té, 10 gotas Aceite Esencial de Lavanda, 1 taza Agua. Mezclar y rociar en áreas expuestas."
34,Limpiador de Pisos Aromático,Limpieza,"Vinagre Blanco, Agua, Aceite Esencial de Limón",Efectividad en Limpieza,"No usar en pisos de madera sin sellar.","Usar 1 parte Vinagre Blanco, 2 partes Agua, 10 gotas Aceite Esencial de Limón. Mezclar y limpiar con un trapeador."
35,Crema Facial Hidratante,Cuidado Personal,"Aceite de Almendras, Aloe Vera, Aceite Esencial de Lavanda",Efectividad en Cuidado Personal,"No usar si tienes alergia a alguno de los ingredientes.","Usar 1 cucharada Aceite de Almendras, 2 cucharadas Gel de Aloe Vera, 3 gotas Aceite Esencial de Lavanda. Mezclar y aplicar en el rostro."
36,Limpiador de Alfombras Natural,Limpieza,"Bicarbonato de Sodio, Vinagre Blanco, Aceite Esencial de Lavanda",Efectividad en Limpieza,"Probar en una pequeña área antes de usar en toda la alfombra.","Espolvorear Bicarbonato de Sodio sobre la alfombra, rociar con una mezcla de 1 parte Vinagre Blanco y 1 parte Agua, añadir unas gotas de Aceite Esencial de Lavanda. Dejar actuar y aspirar."
37,Exfoliante Corporal de Café,Cuidado Personal,"Café Molido, Aceite de Coco, Azúcar Morena",Efectividad en Cuidado Personal,"No usar en piel irritada o con heridas abiertas.","Usar 1/2 taza Café Molido, 1/4 taza Aceite de Coco, 1/4 taza Azúcar Morena. Mezclar y aplicar con movimientos circulares en la piel."
38,Desinfectante Natural de Superficies,Limpieza,"Vinagre Blanco, Agua Oxigenada, Aceite Esencial de Árbol de Té",Efectividad en Limpieza,"No mezclar en el mismo recipiente, aplicar por separado.","Usar 1 parte Vinagre Blanco, 1 parte Agua Oxigenada, 5 gotas Aceite Esencial de Árbol de Té. Aplicar primero el vinagre, luego el agua oxigenada, y finalmente el aceite esencial."
39,Crema Hidratante para Manos,Cuidado Personal,"Aceite de Almendras, Glicerina Vegetal, Agua de Rosas",Efectividad en Cuidado Personal,"No usar si tienes alergia a las almendras.","Usar 2 cucharadas Aceite de Almendras, 1 cucharada Glicerina Vegetal, 1/4 taza Agua de Rosas. Mezclar bien y aplicar en las manos."
40,Limpiador de Vidrios Antivaho,Limpieza,"Alcohol Isopropílico, Agua, Glicerina Vegetal",Efectividad en Limpieza,"No usar en pantallas electrónicas directamente, puede dañar el recubrimiento.","Usar 1 parte Alcohol Isopropílico, 1 parte Agua, 1/2 cucharadita Glicerina Vegetal. Mezclar y aplicar con un paño suave."
41,Solución Buffer de Fosfato,Laboratorio,"Fosfato Monosódico, Fosfato Disódico, Agua",Efectividad en Estabilización de pH,"No ingerir. Usar guantes al manipular.","Usar 0.2 M Fosfato Monosódico, 0.2 M Fosfato Disódico, ajustar pH con ácido o base según necesidad." 
42,Solución de Ácido Clorhídrico 0.1M,Laboratorio,"Ácido Clorhídrico, Agua",Efectividad en Titulación,"Corrosivo. Usar protección ocular y guantes.","Diluir 8.3 mL de Ácido Clorhídrico concentrado en 1 L de Agua destilada." 
43,Solución de Hidróxido de Sodio 0.1M,Laboratorio,"Hidróxido de Sodio, Agua",Efectividad en Titulación,"Corrosivo. Usar guantes y protección ocular.","Disolver 4 g de Hidróxido de Sodio en 1 L de Agua destilada." 
44,Solución de Sulfato de Cobre,Laboratorio,"Sulfato de Cobre, Agua",Efectividad en Pruebas de Reacción,"Tóxico. Evitar contacto con piel y ojos.","Disolver 25 g de Sulfato de Cobre en 1 L de Agua destilada." 
45,Solución de Permanganato de Potasio,Laboratorio,"Permanganato de Potasio, Agua",Efectividad en Oxidación,"Tóxico y oxidante. Usar guantes y protección ocular.","Disolver 3.16 g de Permanganato de Potasio en 1 L de Agua destilada." 
46,Solución de Nitrato de Plata,Laboratorio,"Nitrato de Plata, Agua",Efectividad en Precipitación,"Tóxico. Mancha la piel. Usar guantes.","Disolver 1.7 g de Nitrato de Plata en 1 L de Agua destilada." 
47,Solución de Ácido Acético 1M,Laboratorio,"Ácido Acético, Agua",Efectividad en Ajuste de pH,"Corrosivo. Usar guantes y protección ocular.","Diluir 57.5 mL de Ácido Acético glacial en 1 L de Agua destilada." 
48,Solución de Cloruro de Sodio 0.9%,Laboratorio,"Cloruro de Sodio, Agua",Efectividad en Preparación de Soluciones,"No ingerir. Usar guantes al manipular.","Disolver 9 g de Cloruro de Sodio en 1 L de Agua destilada." 
49,Solución de Ácido Nítrico 0.1M,Laboratorio,"Ácido Nítrico, Agua",Efectividad en Análisis Químico,"Corrosivo. Usar guantes y protección ocular.","Diluir 6.3 mL de Ácido Nítrico concentrado en 1 L de Agua destilada." 
50,Solución de Tiosulfato de Sodio,Laboratorio,"Tiosulfato de Sodio, Agua",Efectividad en Valoración,"Tóxico. Usar guantes y protección ocular.","Disolver 24.8 g de Tiosulfato de Sodio en 1 L de Agua destilada." 
51,Solución de Carbonato de Sodio,Laboratorio,"Carbonato de Sodio, Agua",Efectividad en Neutralización,"Irritante. Usar guantes y protección ocular.","Disolver 10.6 g de Carbonato de Sodio en 1 L de Agua destilada." 
52,Solución de Dicromato de Potasio,Laboratorio,"Dicromato de Potasio, Agua",Efectividad en Oxidación,"Tóxico y carcinógeno. Usar guantes y protección ocular.","Disolver 2.94 g de Dicromato de Potasio en 1 L de Agua destilada." 
53,Solución de Cloruro de Calcio,Laboratorio,"Cloruro de Calcio, Agua",Efectividad en Precipitación,"Irritante. Usar guantes y protección ocular.","Disolver 11.1 g de Cloruro de Calcio en 1 L de Agua destilada." 
54,Solución de Sulfato de Magnesio,Laboratorio,"Sulfato de Magnesio, Agua",Efectividad en Preparación de Soluciones,"No ingerir. Usar guantes al manipular.","Disolver 12.3 g de Sulfato de Magnesio en 1 L de Agua destilada." 
55,Solución de Ácido Fosfórico 1M,Laboratorio,"Ácido Fosfórico, Agua",Efectividad en Ajuste de pH,"Corrosivo. Usar guantes y protección ocular.","Diluir 68 mL de Ácido Fosfórico concentrado en 1 L de Agua destilada." 
56,Solución de Bromuro de Potasio,Laboratorio,"Bromuro de Potasio, Agua",Efectividad en Análisis Químico,"Tóxico. Usar guantes y protección ocular.","Disolver 11.9 g de Bromuro de Potasio en 1 L de Agua destilada." 
57,Solución de Yoduro de Potasio,Laboratorio,"Yoduro de Potasio, Agua",Efectividad en Reacciones Redox,"Tóxico. Usar guantes y protección ocular.","Disolver 16.6 g de Yoduro de Potasio en 1 L de Agua destilada." 
58,Solución de Sulfato de Zinc,Laboratorio,"Sulfato de Zinc, Agua",Efectividad en Precipitación,"Tóxico. Usar guantes y protección ocular.","Disolver 28.7 g de Sulfato de Zinc en 1 L de Agua destilada." 
59,Solución de Cloruro de Amonio,Laboratorio,"Cloruro de Amonio, Agua",Efectividad en Preparación de Soluciones,"Irritante. Usar guantes y protección ocular.","Disolver 5.35 g de Cloruro de Amonio en 1 L de Agua destilada." 
60,Solución de Ácido Perclórico,Laboratorio,"Ácido Perclórico, Agua",Efectividad en Análisis Químico,"Extremadamente corrosivo. Usar guantes, protección ocular y trabajar bajo campana.","Diluir 8.5 mL de Ácido Perclórico concentrado en 1 L de Agua destilada."
